lat,lon
52.406388,4.906775
52.406204,4.905999
52.406232,4.906694
52.406072,4.90576
52.405986,4.906393
52.405959,4.905563
52.405891,4.906195
52.405862,4.905348
52.4057,4.906037
52.405611,4.905861
52.405518,4.905717
52.405468,4.90559
52.338837,4.911602
52.338825,4.911849
52.33882,4.911322
52.36679,4.942067
52.366803,4.943552
52.366801,4.942617
52.366802,4.943265
52.366793,4.942298
52.366784,4.942972
52.380196,4.889206
52.379983,4.889588
52.380113,4.888976
52.379995,4.889168
52.379442,4.889504
52.380084,4.889415
52.33767,4.906655
52.337657,4.906725
52.337369,4.906571
52.337072,4.9065
52.336863,4.906494
52.337339,4.906647
52.352713,4.886638
52.352704,4.886577
52.366655,4.900114
52.339456,4.847581
52.339211,4.847492
52.339101,4.847469
52.338944,4.847485
52.338817,4.847363
52.338632,4.847367
52.387191,4.889362
52.387186,4.88899
52.387151,4.888598
52.387139,4.889002
52.387122,4.888242
52.387103,4.888615
52.3907,4.888571
52.39082,4.888995
52.390734,4.889042
52.390587,4.888679
52.390473,4.888242
52.390678,4.889151
52.357767,4.967735
52.357648,4.968668
52.357675,4.968086
52.379836,4.862574
52.37968,4.862636
52.379388,4.862743
52.380087,4.862418
52.379541,4.862679
52.379238,4.86281
52.405412,4.904524
52.405274,4.905207
52.405256,4.904217
52.405153,4.903991
52.405129,4.905006
52.405064,4.903805
52.40505,4.904791
52.404962,4.904693
52.404895,4.904486
52.404799,4.904324
52.404686,4.904115
52.404574,4.9039
52.404501,4.903765
52.343933,4.78592
52.366839,4.891556
52.366811,4.892939
52.366816,4.891834
52.366805,4.892055
52.367013,4.892342
52.366792,4.892371
52.366793,4.892708
52.42918,4.862834
52.428968,4.862818
52.4288,4.862805
52.428694,4.862681
52.428577,4.862574
52.428481,4.862443
52.367695,4.916854
52.367567,4.917276
52.367457,4.917584
52.367422,4.917922
52.341896,4.847042
52.341749,4.846944
52.341605,4.846846
52.341463,4.846777
52.385081,4.891177
52.385014,4.891185
52.384937,4.891161
52.384786,4.891199
52.38471,4.891168
52.384641,4.89115
52.384558,4.891191
52.384486,4.891141
52.384412,4.891155
52.384335,4.891123
52.384261,4.891147
52.384192,4.891098
52.40011,4.877124
52.399657,4.877388
52.422259,4.859361
52.422118,4.859476
52.421973,4.859575
52.421823,4.859696
52.421717,4.859793
52.399167,4.896832
52.399087,4.896212
52.399064,4.896295
52.387099,4.887826
52.387078,4.88748
52.387061,4.886972
52.343019,4.792855
52.342854,4.792732
52.342598,4.792472
52.385941,4.888538
52.385695,4.888204
52.385397,4.888162
52.385395,4.888451
52.38522,4.888431
52.366714,4.932903
52.366716,4.933436
52.366709,4.933181
52.366696,4.932646
52.369124,4.91994
52.369059,4.920191
52.368911,4.920624
52.36882,4.920888
52.376208,4.944275
52.37627,4.945067
52.376182,4.943917
52.37621,4.944147
52.376226,4.944038
52.376169,4.943802
52.376211,4.943562
52.376166,4.943687
52.375858,4.918491
52.375793,4.918879
52.375801,4.918432
52.375729,4.91928
52.375649,4.919767
52.37563,4.919584
52.3909,4.901621
52.390782,4.901721
52.390617,4.901763
52.390505,4.901833
52.390354,4.901883
